date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20190101,00:00,06:00,7,6,Overcast.,19,250,88,1027
20190101,06:00,12:00,7,6,Drizzle. Partly sunny.,31,250,88,1023
20190101,12:00,18:00,6,5,Light rain. Broken clouds.,32,250,88,1020
20190101,18:00,00:00,5,0,Passing clouds.,33,290,81,1021
20190102,00:00,06:00,2,0,Passing clouds.,34,290,83,1022
20190102,06:00,12:00,3,1,Passing clouds.,29,320,77,1025
20190102,12:00,18:00,2,1,Passing clouds.,29,340,62,1029
20190102,18:00,00:00,1,-1,Passing clouds.,22,330,66,1032
20190103,00:00,06:00,-1,-4,Passing clouds.,20,260,77,1033
20190103,06:00,12:00,0,-5,Sunny.,21,280,79,1034
20190103,12:00,18:00,1,-1,Passing clouds.,17,300,80,1033
20190103,18:00,00:00,0,-2,Clear.,17,330,88,1034
20190104,00:00,06:00,0,-1,Passing clouds.,15,260,87,1034
20190104,06:00,12:00,1,-1,Scattered clouds.,20,260,88,1033
20190104,12:00,18:00,1,1,Snow flurries. Passing clouds.,26,260,90,1029
20190104,18:00,00:00,2,1,Partly cloudy.,22,260,95,1027
20190105,00:00,06:00,3,2,Partly cloudy.,34,270,96,1023
20190105,06:00,12:00,6,3,Partly sunny.,32,270,95,1021
20190105,12:00,18:00,7,6,Partly sunny.,27,320,90,1021
20190105,18:00,00:00,6,5,Passing clouds.,23,320,94,1023
20190106,00:00,06:00,5,3,Passing clouds.,16,320,97,1025
20190106,06:00,12:00,3,3,Partly sunny.,7,60,96,1027
20190106,12:00,18:00,5,3,Partly sunny.,11,280,95,1028
20190106,18:00,00:00,5,5,Passing clouds.,17,310,93,1029
20190107,00:00,06:00,5,4,Passing clouds.,21,310,92,1029
20190107,06:00,12:00,5,4,Passing clouds.,19,290,91,1029
20190107,12:00,18:00,4,4,Light rain. Broken clouds.,24,250,86,1027
20190107,18:00,00:00,4,3,Passing clouds.,30,220,86,1021
20190108,00:00,06:00,5,4,Light rain. Partly cloudy.,31,230,88,1013
20190108,06:00,12:00,5,3,Light rain. Broken clouds.,33,250,86,1008
20190108,12:00,18:00,5,4,Broken clouds.,40,270,83,1004
20190108,18:00,00:00,3,2,Light rain. Passing clouds.,35,270,87,1005
20190109,00:00,06:00,2,1,Light snow. Passing clouds.,38,310,84,1006
20190109,06:00,12:00,1,0,Light snow. Mostly cloudy.,36,310,87,1008
20190109,12:00,18:00,0,0,Light snow. Passing clouds.,28,320,91,1011
20190109,18:00,00:00,0,-1,Light snow. Passing clouds.,26,340,95,1014
20190110,00:00,06:00,0,0,Light snow. Passing clouds.,21,350,88,1018
20190110,06:00,12:00,-1,-1,Partly sunny.,17,0,88,1021
20190110,12:00,18:00,-1,-2,Partly sunny.,11,0,77,1023
20190110,18:00,00:00,-2,-3,Passing clouds.,9,240,82,1024
20190111,00:00,06:00,-2,-3,Light snow. Passing clouds.,14,240,88,1023
20190111,06:00,12:00,0,-2,Light freezing rain. Broken clouds.,19,230,96,1020
20190111,12:00,18:00,1,0,Broken clouds.,28,250,92,1018
20190111,18:00,00:00,2,1,Passing clouds.,23,260,95,1017
20190112,00:00,06:00,3,2,Passing clouds.,19,270,93,1018
