time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201601010020,0°C,Wind blowing from 190° South to North,7 km/h,Passing clouds.,1025 mbar,93%
201601010050,0°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Passing clouds.,1025 mbar,93%
201601010120,0°C,Wind blowing from 210° South-southwest to North-northeast,7 km/h,Passing clouds.,1025 mbar,100%
201601010150,-1°C,Wind blowing from 0° North to South,4 km/h,Ice fog.,1025 mbar,100%
201601010220,-1°C,Wind blowing from 270° West to East,7 km/h,Ice fog.,1025 mbar,93%
201601010250,0°C,Wind blowing from 300° West-northwest to East-southeast,6 km/h,Ice fog.,1026 mbar,100%
201601010320,1°C,Wind blowing from 270° West to East,4 km/h,Fog.,1026 mbar,93%
201601010420,-1°C,Wind blowing from 190° South to North,15 km/h,Ice fog.,1025 mbar,100%
201601010550,-1°C,Wind blowing from 230° Southwest to Northeast,11 km/h,Ice fog.,1025 mbar,100%
201601010620,0°C,Wind blowing from 0° North to South,4 km/h,Ice fog.,1026 mbar,100%
201601010650,0°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Ice fog.,1025 mbar,100%
201601010720,0°C,Wind blowing from 220° Southwest to Northeast,15 km/h,Ice fog.,1025 mbar,100%
201601010750,0°C,Wind blowing from 230° Southwest to Northeast,17 km/h,Ice fog.,1025 mbar,93%
201601010820,0°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Ice fog.,1025 mbar,93%
201601010850,-1°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Sunny.,1026 mbar,100%
201601010920,1°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Sunny.,1026 mbar,93%
201601010950,1°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Sunny.,1026 mbar,93%
201601011020,1°C,Wind blowing from 190° South to North,9 km/h,Sunny.,1026 mbar,93%
201601011050,3°C,Wind blowing from 190° South to North,7 km/h,Sunny.,1026 mbar,87%
201601011120,3°C,Wind blowing from 190° South to North,9 km/h,Sunny.,1026 mbar,87%
201601011150,2°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Partly sunny.,1026 mbar,93%
201601011220,3°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Scattered clouds.,1026 mbar,87%
201601011250,3°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Broken clouds.,1025 mbar,87%
201601011320,3°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Broken clouds.,1025 mbar,93%
201601011350,3°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Scattered clouds.,1025 mbar,93%
201601011420,3°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Scattered clouds.,1025 mbar,93%
201601011450,3°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Scattered clouds.,1025 mbar,93%
201601011520,4°C,Wind blowing from 220° Southwest to Northeast,7 km/h,Partly sunny.,1025 mbar,87%
201601011550,3°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Partly sunny.,1025 mbar,93%
201601011620,3°C,Wind blowing from 210° South-southwest to North-northeast,7 km/h,Passing clouds.,1025 mbar,93%
201601011650,3°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Passing clouds.,1025 mbar,93%
201601011720,3°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Overcast.,1025 mbar,87%
201601011750,3°C,Wind blowing from 190° South to North,9 km/h,Overcast.,1025 mbar,93%
201601011820,3°C,Wind blowing from 180° South to North,11 km/h,Light rain. Passing clouds.,1025 mbar,93%
201601011850,2°C,Wind blowing from 190° South to North,13 km/h,Passing clouds.,1024 mbar,93%
201601011920,2°C,Wind blowing from 190° South to North,13 km/h,Partly cloudy.,1024 mbar,93%
201601011950,1°C,Wind blowing from 180° South to North,13 km/h,Passing clouds.,1024 mbar,93%
201601012020,1°C,Wind blowing from 190° South to North,11 km/h,Passing clouds.,1023 mbar,93%
201601012050,2°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Passing clouds.,1023 mbar,93%
201601012120,2°C,Wind blowing from 190° South to North,9 km/h,Passing clouds.,1023 mbar,93%
201601012150,1°C,Wind blowing from 170° South to North,11 km/h,Passing clouds.,1022 mbar,100%
201601012220,1°C,Wind blowing from 170° South to North,11 km/h,Passing clouds.,1022 mbar,93%
201601012250,1°C,Wind blowing from 150° South-southeast to North-northwest,11 km/h,Low clouds.,1022 mbar,93%
201601012320,0°C,Wind blowing from 140° Southeast to Northwest,7 km/h,Low clouds.,1021 mbar,100%
201601012350,0°C,Wind blowing from 160° South-southeast to North-northwest,6 km/h,Low clouds.,1021 mbar,100%
201601020020,0°C,Wind blowing from 170° South to North,6 km/h,Low clouds.,1021 mbar,93%
201601020050,0°C,Wind blowing from 0° North to South,4 km/h,Low clouds.,1020 mbar,93%
201601020120,0°C,Wind blowing from 0° North to South,2 km/h,Low clouds.,1020 mbar,93%
201601020220,0°C,Wind blowing from 110° East-southeast to West-northwest,4 km/h,Fog.,1020 mbar,93%
201601020250,-1°C,Wind blowing from 90° East to West,6 km/h,Fog.,1020 mbar,93%
201601020320,-1°C,Wind blowing from 40° Northeast to Southwest,4 km/h,Fog.,1019 mbar,93%
201601020350,-1°C,Wind blowing from 0° North to South,4 km/h,Ice fog.,1019 mbar,93%
201601020420,-1°C,Wind blowing from 40° Northeast to Southwest,4 km/h,Ice fog.,1019 mbar,93%
201601020520,-2°C,Wind blowing from 20° North-northeast to South-southwest,6 km/h,Fog.,1018 mbar,100%
201601020550,-2°C,Wind blowing from 40° Northeast to Southwest,7 km/h,Chilly.,1018 mbar,100%
201601020620,-2°C,Wind blowing from 50° Northeast to Southwest,6 km/h,Ice fog.,1017 mbar,100%
201601020650,-2°C,Wind blowing from 0° North to South,4 km/h,Ice fog.,1017 mbar,100%
201601020720,-2°C,Wind blowing from 50° Northeast to Southwest,6 km/h,Ice fog.,1017 mbar,100%
201601020750,-2°C,Wind blowing from 50° Northeast to Southwest,9 km/h,Ice fog.,1017 mbar,100%
201601020820,-2°C,Wind blowing from 50° Northeast to Southwest,9 km/h,Ice fog.,1017 mbar,100%
201601020850,-2°C,Wind blowing from 50° Northeast to Southwest,9 km/h,Ice fog.,1017 mbar,100%
201601020920,-1°C,Wind blowing from 70° East-northeast to West-southwest,11 km/h,Clear.,1017 mbar,93%
201601020950,-1°C,Wind blowing from 50° Northeast to Southwest,6 km/h,Partly sunny.,1017 mbar,93%
201601021020,-1°C,Wind blowing from 50° Northeast to Southwest,11 km/h,Ice fog.,1017 mbar,93%
201601021050,-2°C,Wind blowing from 50° Northeast to Southwest,11 km/h,Ice fog.,1017 mbar,100%
201601021120,-1°C,Wind blowing from 70° East-northeast to West-southwest,13 km/h,Ice fog.,1017 mbar,93%
201601021150,-1°C,Wind blowing from 70° East-northeast to West-southwest,9 km/h,Ice fog.,1017 mbar,93%
201601021220,-1°C,Wind blowing from 80° East to West,15 km/h,Ice fog.,1016 mbar,93%
201601021250,-1°C,Wind blowing from 70° East-northeast to West-southwest,13 km/h,Partly sunny.,1016 mbar,93%
201601021320,-1°C,Wind blowing from 60° East-northeast to West-southwest,15 km/h,Partly sunny.,1016 mbar,93%
201601021350,-1°C,Wind blowing from 60° East-northeast to West-southwest,15 km/h,Partly sunny.,1015 mbar,93%
201601021420,-1°C,Wind blowing from 70° East-northeast to West-southwest,15 km/h,Partly sunny.,1015 mbar,93%
201601021450,-1°C,Wind blowing from 80° East to West,17 km/h,Partly sunny.,1015 mbar,93%
201601021520,-1°C,Wind blowing from 80° East to West,17 km/h,Partly sunny.,1015 mbar,93%
201601021550,-1°C,Wind blowing from 80° East to West,15 km/h,Broken clouds.,1015 mbar,93%
201601021620,-1°C,Wind blowing from 80° East to West,15 km/h,Broken clouds.,1015 mbar,93%
201601021650,-1°C,Wind blowing from 80° East to West,13 km/h,Partly cloudy.,1015 mbar,93%
201601021720,-1°C,Wind blowing from 70° East-northeast to West-southwest,15 km/h,Partly cloudy.,1015 mbar,93%
201601021750,0°C,Wind blowing from 70° East-northeast to West-southwest,13 km/h,Passing clouds.,1015 mbar,87%
201601021820,0°C,Wind blowing from 70° East-northeast to West-southwest,13 km/h,Partly cloudy.,1015 mbar,87%
201601021850,0°C,Wind blowing from 70° East-northeast to West-southwest,13 km/h,Partly cloudy.,1015 mbar,87%
201601021920,0°C,Wind blowing from 70° East-northeast to West-southwest,11 km/h,Partly cloudy.,1015 mbar,87%
201601021950,0°C,Wind blowing from 80° East to West,9 km/h,Mostly cloudy.,1015 mbar,87%
201601022020,0°C,Wind blowing from 80° East to West,11 km/h,Mostly cloudy.,1015 mbar,87%
201601022050,0°C,Wind blowing from 90° East to West,13 km/h,Light snow. Mostly cloudy.,1015 mbar,93%
201601022120,-1°C,Wind blowing from 70° East-northeast to West-southwest,9 km/h,Light snow. Mostly cloudy.,1015 mbar,100%
201601022150,-1°C,Wind blowing from 60° East-northeast to West-southwest,9 km/h,Light snow. Ice fog.,1015 mbar,93%
201601022220,-2°C,Wind blowing from 80° East to West,13 km/h,Light snow. Ice fog.,1015 mbar,100%
